Bldg City,Bldg State,Bldg Status,Property Type,Total Parking Spaces,Owned/Leased
HARTFORD,CT,ACTIVE,BUILDING,29,OWNED
NEW HAVEN,CT,ACTIVE,BUILDING,0,OWNED
WATERBURY,CT,ACTIVE,BUILDING,2,LEASED
WILLIMANTIC,CT,ACTIVE,BUILDING,0,LEASED
HARTFORD,CT,ACTIVE,BUILDING,103,OWNED
BRIDGEPORT,CT,ACTIVE,BUILDING,131,OWNED
TORRINGTON,CT,ACTIVE,BUILDING,5,OWNED
NEW HAVEN,CT,ACTIVE,BUILDING,74,OWNED
EAST HARTFORD,CT,ACTIVE,BUILDING,159,LEASED
STAMFORD,CT,ACTIVE,BUILDING,8,LEASED
MIDDLETOWN,CT,ACTIVE,BUILDING,1,LEASED
EAST HARTFORD,CT,ACTIVE,BUILDING,0,LEASED
NEW HAVEN,CT,ACTIVE,BUILDING,5,LEASED
NEW HAVEN,CT,ACTIVE,BUILDING,43,LEASED
BRIDGEPORT,CT,ACTIVE,BUILDING,15,LEASED
NEW HAVEN,CT,ACTIVE,BUILDING,25,LEASED
GLASTONBURY,CT,ACTIVE,BUILDING,4,LEASED
MERIDEN,CT,ACTIVE,BUILDING,39,LEASED
NEW LONDON,CT,ACTIVE,BUILDING,28,LEASED
BRIDGEPORT,CT,ACTIVE,BUILDING,100,LEASED
MIDDLETOWN,CT,ACTIVE,BUILDING,11,LEASED
GROTON,CT,ACTIVE,BUILDING,4,LEASED
HARTFORD,CT,ACTIVE,BUILDING,9,LEASED
EAST HARTFORD,CT,ACTIVE,BUILDING,28,LEASED
NEW HAVEN,CT,ACTIVE,BUILDING,220,LEASED
DANBURY,CT,ACTIVE,BUILDING,1,LEASED
MERIDEN,CT,ACTIVE,BUILDING,12,LEASED
TOLLAND,CT,ACTIVE,BUILDING,52,LEASED
HARTFORD,CT,ACTIVE,BUILDING,8,LEASED
WINDSOR LOCKS,CT,ACTIVE,BUILDING,5,LEASED
WILLIMANTIC,CT,ACTIVE,BUILDING,25,LEASED
NEW LONDON,CT,ACTIVE,BUILDING,0,LEASED
NEW LONDON,CT,ACTIVE,BUILDING,164,LEASED
HARTFORD,CT,ACTIVE,BUILDING,10,LEASED
SHELTON,CT,ACTIVE,BUILDING,62,LEASED
NEW HAVEN,CT,ACTIVE,BUILDING,0,LEASED
TOLLAND,CT,ACTIVE,BUILDING,3,LEASED
HARTFORD,CT,ACTIVE,BUILDING,17,LEASED
HAMDEN,CT,ACTIVE,BUILDING,15,LEASED
NEW LONDON,CT,ACTIVE,BUILDING,6,LEASED
ROCKY HILL,CT,ACTIVE,BUILDING,32,LEASED
NEW HAVEN,CT,ACTIVE,BUILDING,28,LEASED
NEW BRITAIN,CT,ACTIVE,BUILDING,24,LEASED
STAMFORD,CT,ACTIVE,BUILDING,6,LEASED
EAST HARTFORD,CT,ACTIVE,BUILDING,1,LEASED
